Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Basketball","Czech Republic NBL","BK Nova Hut Ostrava","Basket Brno","Basketball","Czech Republic NBL","NH Ostrava","Basket Brno"
"Basketball","Czech Republic NBL","BK Pardubice","Basketbal Olomouc","Basketball","Czech Republic NBL","BK Olomoucko","BK Jip Pardubice"
"Soccer","UAE President's Cup","Al-Jazira Al-Hamra","Forte Virtus","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf Heroes FC"
"Tennis","ITF W50 Yecla ESP","Carmen Guevara","Tian Jialin","Tennis","ITF W50","Carmen Gallardo Guevara","Tian Jialin"
"Tennis","ITF W50 Yecla ESP","Juliana Giaccio","Ares Garcia","Tennis","ITF W50","Juliana Giaccio","Ares Teixido Garcia"
"Soccer","Japanese League Cup W","Tokyo Verdy","Albirex Niigata","Soccer","International Other Competitions Soccer","NTV Beleza (W)","Albirex Niigata (W)","Soccer","International Other Competitions Soccer","NTV Beleza (W)","Albirex Niigata (W)"
"Soccer","Japanese League Cup W","Tokyo Verdy","Albirex Niigata","Soccer","International Other Competitions Soccer","NTV Beleza (W)","Albirex Niigata (W)"
"Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima","Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima Regina","Soccer","International Other Competitions Soccer","Cerezo Osaka (W)","Sanfrecce Hiroshima (W)"
"Soccer","International UEFA Ladies Europa Cup","HJK Helsinki (W)","SK Brann (W)","Soccer","UEFA Europa Cup Women","HJK Helsinki","Brann"
"Soccer","Japanese League Cup W","Tokyo Verdy","Albirex Niigata","Soccer","Japanese League Cup W","Tokyo Verdy Beleza","Albirex Niigata"
"Soccer","Japan Emperor�s Cup","Kashiwa","FC Imabari","Soccer","Japan Emperor�s Cup","Kashiwa Reysol","Imabari","Soccer","Emperor's Cup","Kashiwa Reysol","FC Imabari"
"Soccer","Chilean Cup","Union La Calera","Universidad Catolica","Soccer","Chilean Cup","Union La Calera","Univ Catolica (Chile)","Soccer","Chilean Cup","Union La Calera","Univ Catolica (Chile)"
"Soccer","Chilean Cup","Union La Calera","Universidad Catolica","Soccer","Chilean Cup","Union La Calera","Univ Catolica (Chile)"
"Soccer","Norwegian Cup","Grorud IL","Moss","Soccer","Norwegian Cup","Grorud Il","Moss FK","Soccer","Norwegian Cup","Grorud Il","Moss FK"
"Soccer","Norwegian Cup","Grorud","Moss","Soccer","Norwegian Cup","Grorud Il","Moss FK"
"Soccer","International UEFA Ladies Europa Cup","Brondby (W)","Sporting Lisbon (W)","Soccer","UEFA Europa Cup Women","Brondby","Sporting CP"
"Soccer","International Other Competitions Soccer","Nojima (W)","Chifure Elfen Saitama (W)","Soccer","Japanese League Cup W","Nojima Stella","Elfen Saitama"
"Soccer","Norwegian Cup","Grorud IL","Moss","Soccer","Norwegian Cup","Grorud IL","Moss","Soccer","Norwegian Cup","Grorud","Moss"
"Soccer","Women Europa Cup","HJK Helsinki Women","Brann Women","Soccer","International UEFA Ladies Europa Cup","HJK Helsinki (W)","SK Brann (W)"
"Soccer","COSAFA U20 Cup","South Africa U20","eSwatini U20","Soccer","International Friendlies","South Africa U20","Eswatini U20"
