Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito","Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito Cs","Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito"
"Soccer","India BDFA Super Division","HAL SC Bangalore","Kickstart FC","Soccer","India BDFA Super Division","Hindustan FC","Kickstart FC"
"Basketball","Korea Republic Korea Republic KBL Cup","Goyang Orions","Seoul SK Knights","Basketball","World Friendlies","Goyang Skygunners","Seoul SK Knights"
"Soccer","Asian Games W","North Korea","Chinese Taipei","Soccer","Asian Games W","Korea DPR (W)","Chinese Taipei (W)"
"Tennis","WTA 500","Costoulas S / Gibson T","Mladenovic K / Panova A","Tennis","WTA 500","Costoulas/Gibson","Mladenovic/Panova"
"Soccer","Chilean Cup","Iquique","Antofagasta","Soccer","Chilean Cup","Deportes Iquique","Antofagasta","Soccer","Chilean Cup","Deportes Iquique","Antofagasta"
"Soccer","Chilean Cup","Deportes Iquique","Antofagasta","Soccer","Chilean Cup","Iquique","Antofagasta"
"Soccer","Asian Games W","Korea Republic (W)","Uzbekistan (W)","Soccer","Asian Games W","Korea","Uzbekistan Women","Soccer","Asian Games W","Korea Republic (W)","Uzbekistan (W)"
"Basketball","Euroleague","Nicolo Melli","","Basketball","Euroleague","Nicolò Melli",""
"Football","NCAAF","Louisville Cardinals","Wake Forest Demon Deacons","Football","NCAAF","Louisville","Wake Forest"
"Soccer","Brazil Serie B","Novorizontino","Sao Bernardo","Soccer","Brazil Serie B","Gremio Novorizontino","Sao Bernardo"
"Tennis","WTA 500","Routliffe E / Sutjiadi A","Garland J / Hsieh S-W","Tennis","WTA 500","Routliffe E / Sutjiadi A","Garland J / Hsieh S-W","Tennis","WTA 500 WD","Erin Routliffe / Aldila Sutjiadi","Joanna Garland / Su-Wei Hsieh"
"Hockey","Europe Alps Hockey League","Renon/Ritten Sport Renault Trucks","HC Merano","Hockey","European Alps Hockey League","Ritten Sport Renon","HC Merano"
"Rainbow Six","Rainbow Six China League","KINGZERO","LGD","Rainbow Six","Rainbow Six","LGD Gaming","Kingzone"
"Basketball","Estonian Latvian Basketball League","BC Tartu","BC Kalev/Cramo","Basketball","European Estonian–Latvian Basketball League","Tartu Ulikool","BC Kalev"
"Soccer","CONCACAF Nations League A","Barbados","Saint Lucia","Soccer","International CONCACAF Nations League B","Barbados","St Lucia"
"Soccer","Mexico Liga de Expansion MX","Mineros Zacatecas","Piratas FC","Soccer","Mexico Liga de Expansión MX","Mineros de Zacatecas","Piratas"
"Soccer","Mexico Liga de Expansion MX","Oaxaca","Atletico La Paz","Soccer","Mexico Liga de Expansión MX","Alebrijes de Oaxaca","Atletico La Paz"
"Soccer","Mexico Liga de Expansion MX","Oaxaca","Atletico La Paz","Soccer","Mexico Liga de Expansion MX","Alebrijes De Oaxaca FC","Club Atletico La Paz"
"Soccer","Israel Liga Alef","Maccabi Nujeidat Ahmad","Hapoel Ironi Arraba","Soccer","Israel Liga Alef","Maccabi Nujeidat Ahmed","Hapoel Ironi Arraba"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","Inter Toronto","Soccer","Canada Premier League","Vancouver FC","York United FC","Soccer","Canada Premier League","Vancouver FC","York 9 FC"
"Soccer","Canada Premier League","Vancouver FC","York 9 FC","Soccer","Canada Premier League","Vancouver FC","York United FC"
"Soccer","Canada Premier League","Vancouver FC","York 9 FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto FC","Soccer","Canada Premier League","Vancouver FC","Inter Toronto"
"Soccer","Iceland Urvalsdeild W","Valur Reykjavik","Vikingur Reykjavik","Soccer","Iceland Urvalsdeild W","Valur Reykjavik (W)","Vikingur Reykjavik (W)","Soccer","Iceland Urvalsdeild W","Valur Reykjavik (W)","Vikingur Reykjavik (W)"
"Hockey","European Alps Hockey League","Ritten Sport Renon","HC Merano","Hockey","Europe Alps Hockey League","Renon/Ritten Sport Renault Trucks","HC Merano"
"Tennis","ITF M25","Oluwaseun Ogunsakin","Etienne Donnet","Tennis","ITF Men Monastir R16","Oluwaseun Peter Ogunsakin","Etienne Donnet"
"Soccer","UAE U21 League","Al Jazira","Al Orooba","Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21","Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21"
"Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21","Soccer","UAE U21 League","Al Jazira","Al Orooba"
"Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21","Soccer","UAE U21","Al-Jazira Club U21","Al Orooba U21"
"Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21","Soccer","UAE U21 Pro League","Al-Jazira Club U21","Al Orooba U21"
"Soccer","UAE U21 Pro League","Al-Jazira Club U21","Al Orooba U21","Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21","Soccer","UAE U21 Pro League","Al Jazeera U21","AL Urooba U21"
"Basketball","Asian Games W","Mongolia","China","Basketball","Asian Games W","Mongolia","China (W)"
"Basketball","Asian Games W","Mongolia","China (W)","Basketball","Asian Games W","Mongolia","China"
"Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973"
"Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973"
"Basketball","FIBA Intercontinental Cup","BC Rytas Vilnius","Shanghai Sharks","Basketball","FIBA Intercontinental Cup","Rytas Vilnius","Shanghai Sharks"
"Soccer","Malaysian President Cup U20","Negeri Sembilan","Penang","Soccer","Malaysian President Cup U20","Negeri Sembilan U20","Penang FC U20","Soccer","Malaysian President Cup U20","Negeri Sembilan U20","Penang FC U20"
"Soccer","Chilean Cup","O'Higgins","Deportes Santa Cruz","Soccer","Chilean Cup","OHiggins","Club Deportes Santa Cruz","Soccer","Chilean Cup","OHiggins","Club Deportes Santa Cruz"
"Soccer","Spanish Division 2","Girona","Albacete","Soccer","Spain La Liga 2","Girona FC","Albacete Balompié","Soccer","Spain La Liga 2","Girona","Albacete"
"Soccer","Mexico Liga MX","Atlante","Monterrey","Soccer","Mexico Liga MX","Atlante FC","CF Monterrey"
"Soccer","Mexico Liga MX","Atlante FC","CF Monterrey","Soccer","Mexico Liga MX","Atlante","Monterrey"
"Soccer","Egypt Second Division A","Belqas","Ismaily","Soccer","Egypt Second Division A","Delta United","Ismaily"
"Basketball","WNBA","Connecticut Sun","Toronto Tempo","Basketball","WNBA","Connecticut Sun","Toronto Tempo W"
"Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago"
"Soccer","International Friendlies","Uzbekistan","IR Iran","Soccer","International Friendlies","Uzbekistan","Iran"
"Basketball","Hungary Nemzeti Bajnoksag I.A Women","Uni Gyor","BEAC-Ujbuda","Basketball","Hungary Hungarian Division A Women","Uni Gyor (W)","Beac-Ujbuda (W)"
"Soccer","India BDFA Super Division","HAL SC Bangalore","Kickstart FC","Soccer","India BDFA Super Division","HAL SC Bangalore","Kickstart FC","Soccer","India BDFA Super Division","Hindustan FC","Kickstart FC"
"Soccer","India BDFA Super Division","HAL SC Bangalore","Kickstart FC","Soccer","India BDFA Super Division","Hindustan FC","Kickstart FC","Soccer","India BDFA Super Division","Hindustan FC","Kickstart FC"
"Soccer","Austria Austrian Regionalliga","Parndorf","Favoritner AC","Soccer","Austria Regionalliga Ost","SC/Esv Parndorf 1919","Favoritner AC"
"Football","NCAAF","Rutgers","Howard","Football","NCAAF","Rutgers Scarlet Knights","Howard Bison"
"Basketball","Germany Bundesliga","SC Rasta Vechta","Brose Bamberg","Basketball","Germany Bundesliga","Rasta Vechta","Brose Bamberg"
"Handball","Denmark Denmark Håndbold Ligaen","Tth Holstebro","KIF Kolding","Handball","Denmark H�ndboldligaen","Team Tvis Holstebro","KIF Kolding"
"Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973"
"Tennis","ATP 250","Federico Cina","Cam Ugo Carabelli","Tennis","ATP 250","Federico Cina","Camilo Ugo Carabelli"
"Basketball","Euroleague","Nicolo Melli","","Basketball","Euroleague","Nicolò Melli",""
"Soccer","Finland Finland Ykkönen","Tampere United","JJK Jyvaskyla","Soccer","Finland Ykkonen","Tampere Utd","JJK"
"Soccer","Mexico Liga de Expansion MX","Oaxaca","Atletico La Paz","Soccer","Mexico Liga de Expansion MX","Alebrijes De Oaxaca FC","Club Atletico La Paz"
"Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973"
"Soccer","CONCACAF Nations League A","Barbados","Saint Lucia","Soccer","CONCACAF Nations League B","Barbados","St Lucia"
"Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago"
"Tennis","ATP 250","Damm Jr","Sh Mochizuki","Tennis","ATP 250","Martin Damm Jr","Shintaro Mochizuki"
"Tennis","ATP 250","L Harris","Al Kovacevic","Tennis","ATP 250","Lloyd Harris","Aleksandar Kovacevic"
"Tennis","ATP 250","Tallon Griekspoor","Denis Shapovalov (CAN)","Tennis","ATP","Tallon Griekspoor","Denis Shapovalov"
"Football","NCAAF","Rutgers","Howard","Football","NCAAF","Rutgers Scarlet Knights","Howard Bison"
"Football","NCAAF","Jacksonville State","Middle Tennessee State","Football","NCAAF","Jacksonville State","Middle Tennessee"
"Soccer","Costa Rica Liga de Ascenso","AD Cariari Pococi","Pitbulls","Soccer","Costa Rica Ascenso","Cariari Pococi","Pitbulls"
"Soccer","Colombia Primera A","Cúcuta Deportivo","Llaneros F.C.","Soccer","Colombia Primera A","Cucuta Deportivo","Llaneros F.C."
"Hockey","Alps Hockey League","Ritten Sport Renon","HC Merano","Hockey","Alps Hockey League","Renon/Ritten Sport Renault Trucks","HC Merano"
"Soccer","CONCACAF Nations League A","Haiti","Trinidad and Tobago","Soccer","CONCACAF Nations League A","Haiti","Trinidad & Tobago"
"Soccer","Colombia Primera A","Cucuta Deportivo","Llaneros F.C.","Soccer","Colombia Primera A","Cúcuta Deportivo","Llaneros F.C."
"Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B"
"Soccer","Egypt Second Division A","Maleyat Kafr El Zayat","El Mansoura","Soccer","Egypt Second Division A","Maleyet Kafr El Zayiat","El Mansoura"
"Soccer","Oman Cup","Oman Club","Sur","Soccer","Oman Cup","Oman FC","Sur Club"
"Basketball","FIBA Intercontinental Cup","BC Rytas Vilnius","Shanghai Sharks","Basketball","FIBA Intercontinental Cup","Rytas Vilnius","Shanghai Sharks"
"Football","NCAAF","Rutgers","Howard","Football","NCAAF","Rutgers Scarlet Knights","Howard Bison","Football","NCAAF","Rutgers Scarlet Knights","Howard Bison"
"Soccer","Egypt Second Division A","Al Nasr Cairo","El Seka EL Hadid","Soccer","Egypt Second Division A","Al Nasr Cairo","El Sekka El Hadid"
"Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973"
"Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","KF Arsimi 1973"
"Soccer","Italy Serie C","Sef Torres Calcio","Vado FC","Soccer","Italy Serie C","Torres","Vado"
"Soccer","Denmark 2nd Division","Brabrand IF","Nykoebing FC","Soccer","Denmark 2nd Division","Brabrand","Nykobing"
"Soccer","Denmark 2nd Division","B 93","Thisted","Soccer","Denmark 2nd Division","B93 Copenhagen","Thisted FC"
"Soccer","Italy Serie C","Lumezzane","Folgore Caratese","Soccer","Italy Serie C","AC Lumezzane","US Folgore Caratese","Soccer","Italy Serie C","AC Lumezzane","US Folgore Caratese"
"Soccer","Italy Serie C","FC Crotone","Unione Sportiva Salernitana 1919","Soccer","Italy Serie C","Crotone","Salernitana"
"Soccer","Spain Primera Federaci�n","Extremadura","Zamora CF","Soccer","Spain Spain Primera Federación","CD Extremadura","Zamora CF"
"Soccer","Slovakia 3. Liga","Podkonice","MFK Ruzomberok II","Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B","Soccer","Slovakia 3. Liga","FK Podkonice","MFK Ruzomberok B"
"Soccer","England National League North","South Shields FC","Buxton FC","Soccer","England National League North","South Shields","Buxton"
"Soccer","Argentina Liga Pro Reserves","Deportivo Riestra","Barracas Central","Soccer","Argentina Liga Pro Reserves","Deportivo Riestra (Res)","Barracas Central (Res)","Soccer","Argentina Liga Pro Reserves","Deportivo Riestra (Res)","Barracas Central (Res)"
"Soccer","Spain Primera Federaci�n","CD Extremadura 1924","Zamora CF","Soccer","Spain Spain Primera Federación","CD Extremadura","Zamora CF"
"Soccer","Spain Primera Federaci�n","UD Ourense","Cacereno","Soccer","Spain Primera Federaci�n","Union Deportiva Ourense","CP Cacereño"
"Soccer","England National League South","Walton & Hersham FC","Farnborough FC","Soccer","England National League South","Walton and Hersham","Farnborough"
"Soccer","Argentina Liga Pro Reserves","Deportivo Riestra Afbc Reserve","CA Barracas Central Reserve","Soccer","Argentina Liga Pro Reserves","Deportivo Riestra (Res)","Barracas Central (Res)"
"Soccer","Costa Rica Ascenso","Cariari Pococi","Pitbulls","Soccer","Costa Rica Liga de Ascenso","AD Cariari Pococi","Pitbulls Santa Barbara FC"
"Soccer","Costa Rica Ascenso","Cariari Pococi","Pitbulls","Soccer","Costa Rica Liga de Ascenso","AD Cariari Pococi","Pitbulls"
"Soccer","England National League South","Chelmsford City","Horsham","Soccer","England National League South","Chelmsford City FC","Horsham FC"
"Soccer","Oman Cup","Oman FC","Sur SC","Soccer","Oman Cup","Oman FC","Sur Club"
"Basketball","Slovakia Basketball Extraliga","Kosice Wolves","BK Inter Bratislava","Basketball","Slovakia Basketball Extraliga","Kosice Wolves","BK Slovan Bratislava"
"Soccer","England National League South","Farnham Town","Weston Super Mare","Soccer","England National League South","Farnham Town","Weston Super Mare","Soccer","England National League South","Farnham Town FC","Weston-super-Mare AFC"
"Soccer","England National League South","Billericay Town","Torquay United","Soccer","England National League South","Billericay Town FC","Torquay United FC"
"Soccer","Italy Serie C","Torres","Vado","Soccer","Italy Serie C","Sef Torres Calcio","Vado FC"
"Soccer","Canada Premier League","HFX Wanderers FC","Atlético Ottawa","Soccer","Canada Premier League","HFX Wanderers","Atl�tico Ottawa"
"Soccer","England National League North","Merthyr Town FC","Marine FC","Soccer","England National League North","Merthyr Town","Marine"
"Soccer","United Kingdom English National League North","Merthyr Town","Marine FC","Soccer","England National League North","Merthyr Town","Marine"
"Soccer","Italy Serie C","Crotone","Salernitana","Soccer","Italy Serie C","FC Crotone","Unione Sportiva Salernitana 1919","Soccer","Italy Serie C","FC Crotone","Unione Sportiva Salernitana 1919"
"Soccer","Argentina Liga Pro Reserves","Deportivo Riestra (Res)","Barracas Central (Res)","Soccer","Argentina Liga Pro Reserves","Deportivo Riestra Afbc Reserve","CA Barracas Central Reserve"
"Soccer","Wales Premier League","Cardiff Metropolitan University FC","Caernarfon Town FC","Soccer","Wales Premier League","Cardiff Metropolitan University","Caernarfon Town"
"Soccer","Denmark 2nd Division","Brabrand","Nykobing","Soccer","Denmark Danish 2nd Division","Brabrand","Nykobing FC"
"Soccer","Wales Premier League","Penybont","Airbus UK Broughton","Soccer","Wales Premier League","Penybont FC","Airbus UK Broughton","Soccer","Wales Premier League","Penybont","Airbus Uk Broughton FC"
"Tennis","San Diego Challenger ATP","Dylan Dietrich","Henry Searle","Tennis","ATP Challenger","Dylan Dietrich","Searle"
"Soccer","Wales Premier League","Penybont FC","Airbus UK Broughton","Soccer","Wales Premier League","Penybont","Airbus UK Broughton"
"Soccer","Denmark 2nd Division","Brabrand","Nykobing","Soccer","Danish 2nd Division","Brabrand","Nykobing FC"
"Handball","France D1","Chartres M�tropole","Cesson-Rennes MHB","Handball","France D1","Chartres Métropole","Cesson-Rennes MHB","Handball","France D1","Chartres Métropole","Cesson-Rennes MHB"
"Handball","France D1","Chartres M�tropole","Cesson-Rennes MHB","Handball","France D1","Chartres Métropole","Cesson-Rennes MHB"
"Tennis","WTA 500","Routliffe/Sutjiadi","Garland/Hsieh","Tennis","WTA 500","Routliffe E / Sutjiadi A","Garland J / Hsieh S-W"
"Soccer","England National League North","Oxford City","Morecambe","Soccer","England National League North","Oxford City FC","Morecambe FC"
"Basketball","Germany Bundesliga","ALBA Berlin","Fraport Skyliners Frankfurt","Basketball","Germany Bundesliga","Alba Berlin","Skyliners Frankfurt"
"Soccer","Sweden Division 2","Kongahalla","Lindome GIF","Soccer","Sweden Division 2","IK Kongahalla","Lindome","Soccer","Sweden Division 2","IK Kongahalla","Lindome"
"Basketball","Germany Bundesliga","Alba Berlin","Fraport Skyliners","Basketball","Germany Bundesliga","ALBA Berlin","Fraport Skyliners Frankfurt"
"Soccer","Sweden Ettan","Sollentuna FF","FC Stockholm Internazionale","Soccer","Sweden Ettan","Sollentuna","Stockholm Internazionale"
"Soccer","UEFA U21 Euro Championship Qualifiers","San Marino","Kosovo","Soccer","UEFA U21 Euro","San Marino U21","Kosovo U21","Soccer","UEFA U21 Euro","San Marino U21","Kosovo U21"
"Soccer","England National League North","Bedford Town FC","Hereford FC","Soccer","England National League North","Bedford Town","Hereford"
"Basketball","Euroleague","Panathinaikos BC","Paris","Basketball","Euroleague","Panathinaikos BC","Paris Basketball"
"Handball","France D2","JS Cherbourg Manche Handball","Frontignan Thau Handball","Handball","France D2","JS Cherbourg Manche HB","Frontignan Thau Handball"
"Soccer","Israel Liga Alef","Maccabi Kiryat Ata-Bialik","Hapoel Ihud Bnei Jatt","Soccer","Israel Liga Alef","Maccabi Kiryat Ata-Bialik","Hapoel Ihud Bnei Jat"
"Soccer","Italy Serie C","US Livorno 1915","US Pianese","Soccer","Italy Serie C","Livorno","Pianese"
"Basketball","Euroleague","Hapoel Tel-Aviv","Bayern Munich","Basketball","Euroleague","Hapoel Tel Aviv","FC Bayern Munich"
"Basketball","Euroleague","Hapoel Tel Aviv","FC Bayern Munich","Basketball","Euroleague","Hapoel Tel-Aviv","Bayern Munich"
"Soccer","Spain Primera Federaci�n","Union Deportiva Ourense","CP Cacereño","Soccer","Spain Primera Federaci�n","UD Ourense","Cacereno"
"Soccer","Spain Primera Federaci�n","CD Mirandés","CD Unionistas de Salamanca CF","Soccer","Spain Primera Federaci�n","Mirandes","Unionistas de Salamanca"
"Basketball","Euroleague","Hapoel Tel Aviv","FC Bayern Munich","Basketball","Euroleague","Hapoel Tel Aviv","Bayern Munich"
"Soccer","Republic of North Macedonian Soccer","FK Mogila","KF Arsimi 1973","Soccer","North Macedonian Cup","FK Mogila","FK Arsimi 1973"
"Tennis","ATP Challenger Tour ATP Challenger Genoa 2, Doubles","Broska F / Oradini G","Arnaboldi F / Iannaccone F","Tennis","ATP Challenger","Broska/Oradini","Arnaboldi/Iannaccone"
"Rugby","England Gallagher Premiership","Harlequin FC","Bath Rugby","Rugby","England Gallagher Premiership","Harlequins","Bath","Rugby","England Gallagher Premiership","Harlequins","Bath"
"Tennis","WTA 500","Routliffe/Sutjiadi","Garland/Hsieh","Tennis","WTA 500 WD","Erin Routliffe / Aldila Sutjiadi","Joanna Garland / Su-Wei Hsieh"
"Tennis","WTA 500","Chan/Wu","Back/Jang","Tennis","WTA 500 WD","Hao Ching Chan / Fang-Hsien Wu","Dayeon Back / Su Jeong Jang"
"Soccer","Wales Premier League","Penybont","Airbus Uk Broughton FC","Soccer","Wales Premier League","Penybont","Airbus UK Broughton"
"Soccer","Wales Premier League","Penybont","Airbus UK Broughton","Soccer","Wales Premier League","Penybont","Airbus Uk Broughton FC"
"Tennis","ATP Challenger","Legout","Colton Smith","Tennis","ATP Challenger","Timo Legout","Colton Smith"
"Tennis","WTA 125","Bayerlova/Gimbrere","Corley C / Corley I","Tennis","WTA 125 WD","Bayerlova M / Gimbrere J","Corley C / Corley I"
"Tennis","WTA 125","Ayukawa/Webley-Smith","Bains/Yamalapalli","Tennis","WTA 125 WD","Ayukawa M / Webley-Smith E","Bains N / Yamalapalli S"
"Soccer","UEFA U21 Euro","Netherlands U21","Norway U21","Soccer","UEFA U21 Euro Championship Qualifiers","Netherlands","Norway"
"Tennis","WTA 500","Chan/Wu","Back/Jang","Tennis","WTA 500 WD","Chan H-C / Wu F-H","Back D / Jang S J"
"Soccer","UEFA U21 Euro Championship Qualifiers","Ukraine","Turkiye","Soccer","UEFA U21 Euro Championship Qualifiers","Ukraine","Turkiye","Soccer","UEFA U21 Euro","Ukraine U21","Turkey U21"
"Tennis","WTA 125","Ayukawa/Webley-Smith","Bains/Yamalapalli","Tennis","WTA 125","Mana Ayukawa / Emily Webley-Smith","Naiktha Bains / Sahaja Yamalapalli"
"Basketball","Japan B2","Kagoshima Rebnise","Rizing Fukuoka BB","Basketball","Japan B2","Kagoshima Rebnise","Rizing Fukuoka"
"Soccer","Estonian Cup","FC Elva","JK Tallinna Kalev","Soccer","Estonian Cup","FC Elva","Tallinna Kalev"
"Soccer","UEFA U21 Euro Championship Qualifiers","Azerbaijan","Czechia","Soccer","UEFA U21 Euro","Azerbaijan U21","Czechia U21"
"Baseball","NPB","Hokkaido Nippon-Ham Fighters","Tohoku Rakuten Golden Eagles","Baseball","NPB","Tohoku Rakuten Golden E","Hokkaido Nippon-Ham Fig"
"Soccer","Ecuador Serie B","Atletico FC","Cuenca Juniors","Soccer","Ecuador Serie B","Atletico Rojiblanco","CD Cuenca Juniors","Soccer","Ecuador Serie B","Atletico Rojiblanco","CD Cuenca Juniors"
"Soccer","Ecuador Serie B","Atletico Rojiblanco","CD Cuenca Juniors","Soccer","Ecuador Serie B","Atletico FC","Cuenca Juniors"
"Soccer","Egypt Second Division A","Team FC Cairo","El Daklyeh","Soccer","Egypt Second Division A","Team FC","El Daklyeh"
"Soccer","England National League South","Slough Town","Hemel Hempstead","Soccer","England National League South","Slough Town","Hemel Hempstead Town"
"Tennis","ATP Challenger","Darwin Blanch","Andy Andrade","Tennis","ATP Challenger","Darwin Blanch","Andr Andrade"
"Tennis","WTA 125","Falkowska W / Smith A","Altinel A N / Egorova D","Tennis","WTA 125","Falkowska W / Smith A","Altinel A N / Egorova D","Tennis","WTA 125","Weronika Falkowska / Alana Smith","Alya Naz Altinel / Daria Egorova"
"Soccer","England National League South","Slough Town","Hemel Hempstead","Soccer","England National League South","Slough Town FC","Hemel Hempstead Town FC"
"Soccer","Egypt Second Division A","Team FC Cairo","El Daklyeh","Soccer","Egypt Second Division A","Team FC","El Daklyeh","Soccer","Egypt Second Division A","Team FC","El Daklyeh"
"Soccer","Chilean Cup","Everton De Vina","Universidad de Chile","Soccer","Chilean Cup","Everton Vina del Mar","Universidad de Chile"
"Soccer","England National League South","Walton & Hersham","Farnborough FC","Soccer","England National League South","Walton and Hersham","Farnborough"
"Soccer","Spain Primera Federaci�n","Arenas Club","Athletic Bilbao B","Soccer","Spain Primera Federaci�n","Arenas Club Getxo","Athletic Bilbao II"
"Basketball","European Estonian–Latvian Basketball League","Tartu Ulikool","BC Kalev","Basketball","Estonian�Latvian Basketball League","BC Tartu","BC Kalev/Cramo"
"Soccer","Sweden Ettan","Sollentuna FF","FC Stockholm Internazionale","Soccer","Sweden Ettan","Sollentuna","Stockholm Internazionale","Soccer","Sweden Ettan","Sollentuna","Stockholm Internazionale"
"Soccer","England National League South","Walton & Hersham","Farnborough FC","Soccer","England National League South","Walton & Hersham FC","Farnborough FC"
"Soccer","Sweden Ettan","Sollentuna FF","FC Stockholm Internazionale","Soccer","Sweden Ettan","Sollentuna","Stockholm Internazionale","Soccer","Sweden Ettan","Sollentuna FF","FC Stockholm Internazionale"
"Basketball","Sweden Basketligan","Boras Basket","Nassjo Basket","Basketball","Sweden BasketLigaen","Boraas Basket","KFUM Nassjo"
"Basketball","Sweden Basketligan","Boras Basket","Nassjo Basket","Basketball","Sweden Basketligan","Boras Basket","KFUM Nassjo"
"Soccer","Italy Serie C","Foggia Calcio 1920","Sorrento Calcio","Soccer","Italy Serie C","Foggia","Sorrento"
"Tennis","ATP 250","Kyrian Jacquet","To Etcheverry","Tennis","ATP 250","Kyrian Jacquet","Tomas Martin Etcheverry"
"Soccer","Oman Cup","Oman FC","Sur SC","Soccer","Oman Cup","Oman Club","Sur"
"Tennis","WTA 125","Vero Podrez","Mi Pohankova","Tennis","WTA 125","Veronika Podrez","Mia Pohankova"
"Tennis","ATP Challenger","Darwin Blanch","Andr Andrade","Tennis","ATP Challenger","Darwin Blanch","Andres Andrade"
"Soccer","Oman Cup","Oman FC","Sur SC","Soccer","Oman Cup","Oman FC","Sur Club","Soccer","Oman Cup","Oman FC","Sur Club"
"Soccer","Italy Serie C","Novara Calcio","ACD Ospitaletto","Soccer","Italy Serie C","Novara","Ospitaletto"
"Soccer","Italy Serie C","Pescara","Spezia Calcio","Soccer","Italy Serie C","Delfino Pescara 1936","Spezia Calcio"
"Soccer","Italy Serie C","AZ Picerno","SS Audace Cerignola","Soccer","Italy Serie C","Picerno","Audace Cerignola"
"Soccer","Italy Serie C","Az Picerno","USD Audace Cerignola","Soccer","Italy Serie C","Picerno","Audace Cerignola"
"Soccer","Italy Serie C","Picerno","Audace Cerignola","Soccer","Italy Serie C","Az Picerno","USD Audace Cerignola","Soccer","Italy Serie C","Az Picerno","USD Audace Cerignola"
"Soccer","Northern Ireland Premiership","Coleraine","Linfield","Soccer","Northern Ireland Northern Ireland NIFL Premiership","Coleraine FC","Linfield FC","Soccer","Northern Ireland Northern Ireland NIFL Premiership","Coleraine FC","Linfield FC"
"Soccer","Norway Norwegian Interkretsserie U19","Follo U19","Lillehammer FK U19","Soccer","Norway U19 League","Follo","Lillehammer"
"Basketball","WNBA","Connecticut Sun","Toronto Tempo W","Basketball","WNBA","Toronto Tempo","Connecticut Sun","Basketball","WNBA","Toronto Tempo","Connecticut Sun"
"Soccer","Norway U19 League","Baerum","Ullern","Soccer","Norway Norwegian Interkretsserie U19","Baerum SK U19","Ullern U19","Soccer","Norway Norwegian Interkretsserie U19","Baerum SK U19","Ullern U19"
"Soccer","Portugal Liga Revelacao U23","Maritimo","Benfica","Soccer","Portugal Liga Revelacao U23","CS Maritimo U23","SL Benfica U23","Soccer","Portugal Liga Revelacao U23","CS Maritimo U23","SL Benfica U23"
"Soccer","Portugal Liga Revelacao U23","Maritimo","Benfica","Soccer","Portugal Liga Revelacao U23","CS Maritimo U23","SL Benfica U23"
"Soccer","Finland Ykkonen","OLS","PK Keski-Uusimaa","Soccer","Finland Ykkonen","Oulun Luistinseura","Pallokerho Keski-Uusimaa"
"Soccer","Scottish Challenge Cup","Spartans","Dundee FC B","Soccer","Scottish Challenge Cup","Spartans Edinburgh FC","Dundee FC B"
"Soccer","UEFA Nations League B","Israel","Ireland","Soccer","UEFA Nations League A","Israel","Republic of Ireland","Soccer","UEFA Nations League A","Israel","Republic of Ireland"
"Soccer","UEFA Nations League A","Israel","Republic of Ireland","Soccer","UEFA Nations League B","Israel","Ireland"
