Sport,League,TeamRaw
"Soccer","Korea K1","Jeonbuk Motors"
"Soccer","Korea K1","Gwangju FC"
"Soccer","Korea K1","Jeonbuk Hyundai Motors"
"Soccer","Portugal Primeira Liga","Vitoria Guimaraes"
"Soccer","Portugal Primeira Liga","Moreirense"
"Soccer","Germany Bundesliga W","Hamburger SV"
"Soccer","Germany Bundesliga W","Nurnberg"
"Soccer","Czech Republic MSFL","FC Zbrojovka Brno B"
"Soccer","Czech Republic MSFL","RSM Hodonin"
"Soccer","Lithuania A Lyga","FA Siauliai"
"Soccer","Lithuania A Lyga","Kauno Zalgiris"
"Soccer","Lithuania A Lyga","Fk Siauliai"
"Soccer","Lithuania A Lyga","FK Kauno Zalgiris"
"Soccer","Japan J1","FC Machida"
"Soccer","Japan J1","Kashiwa"
"Soccer","England League 2","Rotherham"
"Soccer","England League 2","Crewe"
"Soccer","England League 2","Rotherham United"
"Soccer","England League 2","Crewe Alexandra"
"Tennis","Davis Cup","K Krawietz / T Puetz"
"Tennis","Davis Cup","N Mektic / M Pavic"
"Tennis","ATP Challenger","Javier Barranco Cosano"
"Tennis","ATP Challenger","Elia Ruffino"
"Soccer","Mexico Liga MX","Club Tijuana"
"Tennis","Davis Cup","Krawietz K / Puetz T"
"Tennis","Davis Cup","Mektic N / Pavic M"
"Soccer","Turkey 1. Lig","Manisa FK"
"Soccer","Turkey 1. Lig","Istanbulspor"
"Soccer","Turkey 1. Lig","Manisa"
"Soccer","Czech Republic 3. Liga","Bohemians 1905 B"
"Soccer","Czech Republic 3. Liga","Viktoria Plzen B"
"Soccer","Czech Republic 3. Liga","Bohemians 1905 II"
"Soccer","Czech Republic 3. Liga","Viktoria Plzen II"
"Soccer","Norway Division 2","Stjordals-Blink"
"Soccer","Norway Division 2","Lorenskog"
"Soccer","Norway Division 2","Stjordals/Blink"
"Soccer","Austria Bundesliga","Hartberg"
"Soccer","Austria Bundesliga","LASK Linz"
"Soccer","Austria Bundesliga","TSV Hartberg"
"Soccer","Czech Republic MSFL","MFK Karvina B"
"Soccer","Czech Republic MSFL","FK Blansko"
"Soccer","Czech Republic 3. Liga","MFK Karvina II"
"Soccer","Czech Republic 3. Liga","Blansko"
"Soccer","Czech Republic 3. Liga","Admira Prague"
"Soccer","Czech Republic 3. Liga","Pisek"
"Soccer","Czech Republic MSFL","Unicov"
"Soccer","Czech Republic MSFL","CSK Uhersky Brod"
"Soccer","Czech Republic 3. Liga","Unicov"
"Soccer","Czech Republic 3. Liga","CSK Uhersky Brod"
"Soccer","Czech Republic 2. Liga","Viktoria Zizkov"
"Soccer","Czech Republic 2. Liga","Fotbal Trinec"
"Soccer","Czech Republic 2. Liga","Zizkov"
"Soccer","Czech Republic 2. Liga","Trinec"
"Volleyball","European Championship","France"
"Volleyball","European Championship","Portugal"
"Soccer","Paraguay Primera Division","Sportivo Luqueno"
"Soccer","Paraguay Primera Division","Deportivo Recoleta"
"Soccer","Paraguay Primera Division","CD Recoleta"
"Soccer","Honduras Liga Nacional","CD Olimpia"
"Soccer","Honduras Liga Nacional","Siguatepeque"
"Tennis","ATP Challenger","Mayot"
"Tennis","ATP Challenger","Gueymard Wayenburg"
"Tennis","ATP Challenger","Harold Mayot"
"Tennis","ATP Challenger","Sascha Gueymard Wayenburg"
"Tennis","ATP Challenger","Mmoh"
"Tennis","ATP Challenger","Cl Tabur"
"Tennis","ATP Challenger","Michael Mmoh"
"Tennis","ATP Challenger","Clement Tabur"
"Football","NFL","Aaron Jones"
"Football","NFL","Joe Burrow"
"Football","NFL","Brock Purdy"
"Soccer","UEFA Nations League B","Italy"
"Soccer","UEFA Nations League B","Belgium"
"Football","NFL","Rico Dowdle"
"Soccer","Norway Eliteserien","Brann"
"Soccer","Norway Eliteserien","Bodo Glimt"
"Counter-Strike","CS2","Aurora Gaming"
"Counter-Strike","CS2","Team Vitality"
"Football","NFL","Kenneth Gainwell"
"Tennis","ATP Challenger","Budkov Kjaer"
"Tennis","ATP Challenger","B Harris"
"Tennis","ATP Challenger","Nicolai Budkov Kjaer"
"Tennis","ATP Challenger","Billy Harris"
"Basketball","WNBA","Connecticut Sun"
"Basketball","WNBA","Minnesota Lynx"
"Basketball","WNBA","Connecticut Sun W"
"Basketball","WNBA","Minnesota Lynx W"
"Basketball","Mexico National Basketball League","Mineros Zacatecas"
"Basketball","Mexico National Basketball League","Gambusinos de Fresnillo"
"Basketball","Mexico National Basketball League","Mineros de Zacatecas"
"Soccer","Norway Division 2","Skeid"
"Soccer","Norway Division 2","Tromsdalen"
